center
株式会社アトム　すし、焼肉、ステーキ、居酒屋
株式会社あっぷるアイビー　ハンバーグ、パスタ、ピザ
株式会社浅田屋　料亭　ステーキハウス
有限会社いきいき亭　利益○　２０１９，２４３１９千円、８３６９
料亭、割烹　海老亭別館
株式会社柿里　☓　ステーキハウス
株式会社金城楼　　　天ぷら　２０２１，３００，０００千円
株式会社翔志　　　　らーめん世界
株式会社つば甚　　　石川
和食、結婚式
株式会社七越
日本海給食株式会社　ふそうバス
有限会社ファロー
株式会社八幡　　　　うどん
株式会社ユニオンランチ　新庄　配食、企業弁当
五十嶋商事有限会社　旅館、　山小屋
春日温泉観光開発株式会社
株式会社金太郎温泉
株式会社フェイウイング　ホテル、レストラン、クアガーデン
株式会社スカイホテル
辰口観光株式会社　料亭旅館　利益○
館山観光ターミナル株式会社
株式会社富山エクセルホテル東急
株式会社ニューサンピア敦賀
株式会社アイザック・オール　利益○
リバーリトリート雅樂倶　㈱アイザック
美術館・雅樂倶　とのコラボ
株式会社大津屋　オレンジBOXおおつや
有限会社沢端商店　米、玄米　関連
株式会社三喜有
株式会社芝寿し
株式会社髙井屋　野菜ソムリエショップスローベリイ
高田食糧株式会社　炊飯、小麦、　富山上赤江　　　△
株式会社なぶーる　飲料、アイス　利益○　　２０２１、１３２４４１７千円、３４４２３千円
株式会社ベネフレックス　高岡
株式会社堀他
株式会社マルチョウ神戸屋　　　　アピア、ファボーレ、パスコ　惣菜、精肉小売
株式会社マルワフード　　　　　　食品スーパー
株式会社矢郷米　　米、一般食品
大阪屋　主要販売
庄川挟、その他、射水、井波のアンテナショップ富山に出せないか？
富山県いきいき物産株式会社
北陸ファミリー百貨株式会社　　１００円ショップ運営　卸　石川
食料品　製造
株式会社アスコ　館山　利益○
株式会社　葵食品　水産食品
池田食品株式会社　うずまき麩　上赤江
石川製麺株式会社
株式会社烏骨鶏
株式会社浦田甘陽堂　和菓子製造　大和、ユニー
株式会社オーカワパン
大畑食品株式会社　　佃煮、惣菜、菓子製造
株式会社御素麺屋　和菓子、ショートケーキ販売
有限会社女傳商会　かまぼこ、いか黒作り、鱒ずし
かね七株式会社　調味料
加賀種食品工業株式会社
株式会社加賀不室屋
金沢フード株式会社
株式会社河内屋
株式会社幸栄堂　観光土産菓子
有限会社幸伸食品　ごまどうふ
株式会社小堀酒造店
株式会社駒屋　海苔
株式会社米五　味噌、醤油
株式会社西海水産　いか、魚類水産
株式会社三和製玉　オムレツ、鶏卵加工　富山
株式会社シーロード　飲食料加工
株式会社柴舟小出　　和菓子製造販売そうざい
株式会社スギタニ　焼き麩、生麩、冷凍野菜
株式会社スギヨ
株式会社清華堂
ダイエー食品工業　健康食品、食品添加物、うどん、そばフランチャイズ　利益○　金沢
有限会社高芳　ますの寿司　利益○　きまち亭運営　富山市本町
竹内製菓株式会社　観光土産菓子　加賀
株式会社武生製麺　生そば　福井　かつ
立山酒造株式会社　清酒、リキュール　砺波
谷川醸造株式会社　醤油、味噌、輪島
長七製麺株式会社　麺類　小矢部
佃食品株式会社　農水産加工品小売、　金沢
株式会社トンボ飲料　富山市赤江　清涼飲料水、健康、美容飲料ゼリー製造販売
桃宝食品株式会社　缶詰、びん詰め、食肉製品製造業、
富山県ライス栄研株式会社　富山市田畑　過剰米促進
直源醤油株式会社　しょうゆ
日本海味噌醤油株式会社
沼田製粉株式会社　小矢部　小麦
バイホロン株式会社　健康食品　受託製造　富山市　南央町
羽二重豆腐株式会社　冷凍食品、がんも、油揚
菱富食品工業株式会社　らっきょう、漬物惣菜　高岡
日の出屋製菓産業株式会社
株式会社ふじや食品　玉子どうふ　福井
株式会社ぶった農産　野々市　農産物生産販売
株式会社福光屋　金沢　清酒・物販
